split_depth,n_seq,num_tasks,n_parallel,max_task,mean_task,imbalance,t_ideal,t_dynamic
1,1,2,8388606,4194303,4194303.0,1.0,2097153,4194304
2,3,4,8388604,2097151,2097151.0,1.0,2097154,2097154
3,7,8,8388600,1048575,1048575.0,1.0,2097157,2097157
4,15,16,8388592,524287,524287.0,1.0,2097163,2097163
5,31,32,8388576,262143,262143.0,1.0,2097175,2097175
6,63,64,8388544,131071,131071.0,1.0,2097199,2097199
7,127,128,8388480,65535,65535.0,1.0,2097247,2097247
8,255,256,8388352,32767,32767.0,1.0,2097343,2097343
9,511,512,8388096,16383,16383.0,1.0,2097535,2097535
10,1023,1024,8387584,8191,8191.0,1.0,2097919,2097919
11,2047,2048,8386560,4095,4095.0,1.0,2098687,2098687
12,4095,4096,8384512,2047,2047.0,1.0,2100223,2100223
